535635595624,45017360657,SANXING,53571.ibay,26/10/2021,http://10.68.35.74:9090/kct/getFoto/535635595624/202010/dc99e8b66c59d95baa9a397ce000d864
535635712207,32172889522,SANXING,53567.BUNGATE,29/10/2022,http://10.68.35.74:9090/kct/getFoto/535635712207/202010/1696b2ec02d4fe817a7b6bc4c01a6ffe
535635737422,32150348798,ITRON,53567.atep,12/07/2021,http://10.68.35.74:9090/kct/getFoto/535635737422/202010/efced5d38f10eb4b40dbfa2770cfa36a
535635512857,86042387828,SMARTMETER,53563.yesa,09/07/2021,http://10.68.35.74:9090/kct/getFoto/535635512857/202010/5fb721d3af2adc382f6813c3a094855b
535635521502,14229331617,HEXING,53563.yesa,09/07/2021,http://10.68.35.74:9090/kct/getFoto/535635521502/202010/cabd6f148550d74f44cf795c62b3bf59
535635702768,56800130082,MELCOINDA,53563.yesa,10/08/2021,http://10.68.35.74:9090/kct/getFoto/535635702768/202010/02b2a8054535da19562f239b13b34dde
535632783735,56900842602,MELCOINDA,53563.yesa,10/08/2021,http://10.68.35.74:9090/kct/getFoto/535632783735/202010/a997eaffb7713448847432d7c5b867e8
535632644223,56900842628,MELCOINDA,53563.yesa,10/08/2021,http://10.68.35.74:9090/kct/getFoto/535632644223/202010/68007853a1a08bf748a8ec5f9b6a5bd5
535635703388,56800132179,MELCOINDA,53563.yesa,09/09/2021,http://10.68.35.74:9090/kct/getFoto/535635703388/202010/92ab6e9e48712658f5f80b924d8943bf
535635538053,14234131648,HEXING,53563.yesa,13/04/2022,http://10.68.35.74:9090/kct/getFoto/535635538053/202010/45e335a7cc99fb39d3ac317356394cdf
535635800787,32172631916,ITRON,53563.yesa,10/11/2022,http://10.68.35.74:9090/kct/getFoto/535635800787/202010/737ede664c90a7ddccb4ea65d6a95df4
535635538141,86049584641,SMARTMETER,53563.yesa,10/11/2022,http://10.68.35.74:9090/kct/getFoto/535635538141/202010/ce604caf301476343a59aafc7a97cd04
535639886810,45045104630,SANXING,53563.yesa,10/11/2022,http://10.68.35.74:9090/kct/getFoto/535639886810/202010/97f5bb53fbe7c4300f9a4f8b86f436d3
535515577581,14274820548,HEXING,53563.yesa,11/11/2022,http://10.68.35.74:9090/kct/getFoto/535515577581/202010/62f2773e5eaa1c788e1af0e6c33fa1ba
535639930429,32156615182,ITRON,53563.yesa,18/11/2022,http://10.68.35.74:9090/kct/getFoto/535639930429/202010/5dbd946799fc778d0d2b8a2c92dfaf1c
535639930238,32156615133,ITRON,53563.yesa,18/11/2022,http://10.68.35.74:9090/kct/getFoto/535639930238/202010/f26164438ec07fa36a77324afb4bd4a0
535639930685,32900387179,ITRON,53563.yesa,18/11/2022,http://10.68.35.74:9090/kct/getFoto/535639930685/202010/235719228cd17888cb4548e2c95194ab
535635522050,14230556418,HEXING,53563.yesa,18/11/2022,http://10.68.35.74:9090/kct/getFoto/535635522050/202010/4c73406ce228a83eb80cbed179f214a5
535639750376,01101026837,ACTARIS,53563.yesa,01/12/2022,http://10.68.35.74:9090/kct/getFoto/535639750376/202010/8f87d78c3be3c0660b8315f124a4c281
535639990120,14221803563,HEXING,53563.yesa,05/12/2022,http://10.68.35.74:9090/kct/getFoto/535639990120/202010/b9a0dda3970fd57102b3882b52f29b2a
535635520055,14230556707,HEXING,53563.yesa,07/12/2022,http://10.68.35.74:9090/kct/getFoto/535635520055/202010/52104daab870cdea93cbb9d0ba96707b
535630329216,45027303218,SANXING,53563.yesa,09/12/2022,http://10.68.35.74:9090/kct/getFoto/535630329216/202010/16481e63cef821d107c3c0a52f8f0450
535635699519,86042682202,SMARTMETER,53563.yesa,09/12/2022,http://10.68.35.74:9090/kct/getFoto/535635699519/202010/761493cd94b75e39dc71573699db38bb
535639801484,32000101967,ITRON,53563.yesa,04/01/2023,http://10.68.35.74:9090/kct/getFoto/535639801484/202010/ac5d419b8b54e4360e5ae59890b9f740
535639511742,32126080939,ITRON,53563.yesa,04/01/2023,http://10.68.35.74:9090/kct/getFoto/535639511742/202010/be7811902a388f1e500c5584eec39278
535635514110,14222810203,HEXING,53563.yesa,11/01/2023,http://10.68.35.74:9090/kct/getFoto/535635514110/202010/c4b0f800d6fb8626850c8bc2283bc4b9
535635514837,14222804677,HEXING,53563.yesa,11/01/2023,http://10.68.35.74:9090/kct/getFoto/535635514837/202010/fb63a0f86dd62428eb14c62fc9e03568
535635555204,14238835517,HEXING,53563.yesa,12/01/2023,http://10.68.35.74:9090/kct/getFoto/535635555204/202010/b15a597a15b84ffe60fece9318eb4745
535631158739,32001823692,ITRON,53563.yesa,12/01/2023,http://10.68.35.74:9090/kct/getFoto/535631158739/202010/0f51d20c2b52975f9f9c0f1850dc2e37
